City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Touros,BR,79.88,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
3,Tinaquillo,VE,77.07,light rain,9.9186,-68.3047,Hotel Los Copihues
11,Rikitea,PF,78.42,clear sky,-23.1203,-134.9692,People ThankYou
12,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
13,Labuhan,ID,79.65,scattered clouds,-6.8844,112.2051,DoubleFAG
14,Gamba,GA,77.52,overcast clouds,-2.65,10.0,
17,Kavieng,PG,85.24,broken clouds,-2.5744,150.7967,Nusa Island Retreat
19,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Teluknaga,ID,80.64,light rain,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
37,Atuona,PF,79.74,clear sky,-9.8,-139.0333,Villa Enata
39,Madanapalle,IN,77.47,broken clouds,13.55,78.5,Prithvi Lodge
41,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
46,Lompoc,US,75.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
55,Gadwal,IN,83.82,light rain,16.2333,77.8,MS RESIDENCY
60,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
64,Hilo,US,78.53,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
65,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
69,Hithadhoo,MV,82.53,broken clouds,-0.6,73.0833,Scoop Guest House
72,Houma,US,83.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
75,Gat,IL,88.48,few clouds,31.61,34.7642,OlusHome
82,Majene,ID,78.69,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
86,Sinnamary,GF,77.54,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
89,Lobito,AO,77.05,light rain,-12.3481,13.5456,Casa Rosa Hotel Residence
92,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
94,Bengkulu,ID,76.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
95,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
98,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
99,Lethem,GY,84.99,scattered clouds,3.3803,-59.7968,Savannah Inn
103,San Patricio,US,89.69,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
104,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
105,Kokoda,PG,81.45,overcast clouds,-8.8785,147.7407,Daito Guest House
109,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
113,Malayal,PH,78.6,overcast clouds,7.208,121.942,
115,Prainha,BR,76.14,moderate rain,-1.8,-53.48,Casa Rocha
119,Bandar-E Lengeh,IR,76.69,clear sky,26.5579,54.8807,کافی نت پارس
121,Garautha,IN,87.15,clear sky,25.5667,79.3,P.S.K Automobiles garautha
124,Samarai,PG,82.22,moderate rain,-10.6167,150.6667,Nuli Sapi
125,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
128,Puerto Ayora,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
131,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
132,Dutse,NG,81.57,light rain,11.7594,9.3392,Central Mosque Galamawa
133,Poso,ID,77.9,broken clouds,-1.3959,120.7524,Hotel 77 Poso
135,Wewak,PG,82.18,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
137,Vao,NC,76.91,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
138,Lokoja,NG,76.98,light rain,7.8024,6.743,Hotel Charvid
146,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
147,Daru,PG,81.95,overcast clouds,-9.0763,143.2092,Daru Lodge
148,Dicabisagan,PH,76.23,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
150,Caravelas,BR,77.79,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
152,Auki,SB,82.98,overcast clouds,-8.7676,160.7034,Auki Motel
156,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
161,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
166,Kudahuvadhoo,MV,83.64,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
168,Namatanai,PG,84.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
169,Harper,LR,77.18,overcast clouds,4.375,-7.7169,Screensaver
170,Butaritari,KI,81.77,few clouds,3.0707,172.7902,Isles Sunset Lodge
174,Buala,SB,83.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
175,Bonthe,SL,78.98,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
177,Lorengau,PG,82.76,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
187,Ratnagiri,IN,79.95,clear sky,16.9833,73.3,Hotel Landmark
188,Basco,PH,76.59,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
189,Seidu,SL,75.27,overcast clouds,9.0167,-10.6,
191,Tikapur,NP,75.42,scattered clouds,28.5,81.1333,BANANA AGRO RESORT
198,Isla Mujeres,MX,84.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
203,Saint George,US,84.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
204,Maningrida,AU,77.09,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
210,Manavalakurichi,IN,80.6,broken clouds,8.1333,77.3,Jebinrio home
219,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
233,Ternate,ID,81.28,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
235,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
237,Najran,SA,75.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
238,Port Moresby,PG,80.02,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
239,Goundi,TD,88.57,overcast clouds,9.3627,17.366,
241,Boyolangu,ID,76.01,overcast clouds,-8.1181,111.8935,Yos ega cv
242,Matara,LK,78.91,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
245,La Carlota,PH,79.65,broken clouds,10.4233,122.9208,Casa de Mae
251,Gizo,SB,83.19,light rain,-8.103,156.8419,Imagination Island
259,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
261,Matay,EG,85.6,overcast clouds,28.419,30.7792,Nag Aespen
263,Faanui,PF,81.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
264,Coruripe,BR,80.53,light rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
269,Singkawang,ID,76.32,light rain,0.9,109.0,Capital O 1822 Wahana Inn
271,Lahad Datu,MY,76.05,broken clouds,5.0268,118.327,The 27th House
275,Alamogordo,US,86.4,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
276,Muzaffarpur,IN,75.31,clear sky,26.1167,85.4,Hotel Ranjeet
277,Honavar,IN,79.36,few clouds,14.2833,74.45,Hotel Sagar Residency
281,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
