City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Touros,-5.1989,-35.4608,79.88,79,65,7.76,BR,broken clouds
1,New Norfolk,-42.7826,147.0587,55.65,69,100,1.99,AU,overcast clouds
2,Taonan,45.3333,122.7833,44.83,28,6,4.76,CN,clear sky
3,Tinaquillo,9.9186,-68.3047,77.07,92,100,1.61,VE,light rain
4,Punta Arenas,-53.15,-70.9167,46.51,93,75,2.3,CL,light rain
5,Kiama,-34.6833,150.8667,74.25,71,72,6.02,AU,broken clouds
6,Narsaq,60.9167,-46.05,34.02,91,92,4.81,GL,overcast clouds
7,Riyadh,24.6877,46.7219,69.94,21,0,5.99,SA,clear sky
8,Mataura,-46.1927,168.8643,53.47,59,1,2.68,NZ,clear sky
9,Port Alfred,-33.5906,26.891,59.18,91,16,1.99,ZA,few clouds
10,Thompson,55.7435,-97.8558,32.16,29,75,2.3,CA,broken clouds
11,Rikitea,-23.1203,-134.9692,78.42,66,4,11.36,PF,clear sky
12,Vaini,-21.2,-175.2,84.36,79,75,6.91,TO,broken clouds
13,Labuhan,-6.8844,112.2051,79.65,87,49,3.69,ID,scattered clouds
14,Gamba,-2.65,10.0,77.52,91,100,3.8,GA,overcast clouds
15,Tasiilaq,65.6145,-37.6368,32.92,98,100,10.16,GL,light snow
16,Ahipara,-35.1667,173.1667,70.43,88,97,13.71,NZ,light rain
17,Kavieng,-2.5744,150.7967,85.24,66,83,13.82,PG,broken clouds
18,Bourne,52.7667,-0.3833,53.01,69,75,6.91,GB,broken clouds
19,Mahebourg,-20.4081,57.7,77.29,94,75,0.0,MU,broken clouds
20,Qarayeri,40.7886,46.3066,50.88,71,40,6.91,AZ,scattered clouds
21,Hamilton,39.1834,-84.5333,52.63,44,0,14.97,US,clear sky
22,Burns Lake,54.2331,-125.7533,45.82,32,35,3.36,CA,scattered clouds
23,Peniche,39.3558,-9.3811,60.3,90,42,21.56,PT,scattered clouds
24,Charagua,-19.8,-63.2167,72.97,45,76,5.01,BO,broken clouds
25,Arraial Do Cabo,-22.9661,-42.0278,73.26,78,0,10.36,BR,clear sky
26,Ushuaia,-54.8,-68.3,47.86,81,100,26.46,AR,light rain
27,Mar Del Plata,-38.0023,-57.5575,65.08,90,0,11.99,AR,light rain
28,Bredasdorp,-34.5322,20.0403,59.74,94,80,4.38,ZA,broken clouds
29,Hasaki,35.7333,140.8333,61.2,65,74,9.55,JP,broken clouds
30,Upernavik,72.7868,-56.1549,-2.36,85,100,13.62,GL,overcast clouds
31,Gunjur,13.2019,-16.7339,68.74,85,4,19.33,GM,clear sky
32,Bluff,-46.6,168.3333,53.8,73,7,7.34,NZ,clear sky
33,Teluknaga,-6.0989,106.6381,80.64,88,40,5.75,ID,light rain
34,Yellowknife,62.456,-114.3525,19.92,45,20,13.8,CA,few clouds
35,Sao Joao Da Barra,-21.6403,-41.0511,70.61,74,2,10.36,BR,clear sky
36,Bethel,41.3712,-73.414,48.07,43,77,8.99,US,broken clouds
37,Atuona,-9.8,-139.0333,79.74,78,8,16.82,PF,clear sky
38,Klaksvik,62.2266,-6.589,47.32,96,100,10.92,FO,light rain
39,Madanapalle,13.55,78.5,77.47,62,76,5.12,IN,broken clouds
40,Iqaluit,63.7506,-68.5145,-0.31,64,40,11.5,CA,scattered clouds
41,Georgetown,5.4112,100.3354,82.33,99,40,2.3,MY,scattered clouds
42,Busselton,-33.65,115.3333,55.29,75,46,3.09,AU,scattered clouds
43,Lebu,-37.6167,-73.65,54.64,85,100,9.08,CL,overcast clouds
44,Qaanaaq,77.484,-69.3632,-16.96,78,1,3.18,GL,clear sky
45,Sabha,27.0377,14.4283,65.21,33,74,6.04,LY,broken clouds
46,Lompoc,34.6391,-120.4579,75.69,65,0,23.0,US,clear sky
47,Cape Town,-33.9258,18.4232,63.01,80,0,16.11,ZA,clear sky
48,Chenzhou,25.8,113.0333,51.49,97,100,3.09,CN,overcast clouds
49,Saskylakh,71.9167,114.0833,28.09,97,100,12.5,RU,light snow
50,Guerrero Negro,27.9769,-114.0611,67.19,61,91,19.95,MX,overcast clouds
51,Saint-Philippe,-21.3585,55.7679,74.79,88,67,11.81,RE,light rain
52,Nahavand,34.1885,48.377,44.51,46,1,1.88,IR,clear sky
53,Vestmannaeyjar,63.4427,-20.2734,42.64,70,23,5.99,IS,few clouds
54,Hermanus,-34.4187,19.2345,62.8,86,62,10.27,ZA,broken clouds
55,Gadwal,16.2333,77.8,83.82,50,100,4.56,IN,light rain
56,Nsanje,-16.92,35.262,70.57,98,43,2.39,MW,scattered clouds
57,Tura,25.5198,90.2201,67.3,84,0,5.37,IN,clear sky
58,Rock Springs,41.5875,-109.2029,49.05,29,75,27.63,US,broken clouds
59,Muros,42.7762,-9.0603,57.83,79,24,12.3,ES,few clouds
